date,time,stretchAngle,stretchAmt,Vtarget,VDD_VCO1_shunt,VDD_driver_shunt,VDD,VDD_VCO2_shunt,VDD_ring_shunt,strain_1,strain_2,strain_3,temp,V_diode_shunt,V_diode,VDD_VCO1_amps,VDD_VCO2_amps,VDD_driver_amps,VDD_ring_amps,Diode_amps,stretchDiffs
5/2/2023,11:28 AM,45.0,9.9e-05,-1.2,0.043012611,0.020327963,1.1959581,0.042726712,0.000186176,350.79669,351.09402,349.96248,24.215,-2.284e-06,-1.2000824,4.3012611e-05,4.2726712e-05,2.0327963e-05,1.86176e-07,-2.284e-09,1.799999999999999e-05
5/2/2023,11:28 AM,45.0,9.9e-05,-1.183099,0.043006848,0.020337751,1.1961426,0.042759989,0.000199986,350.79776,351.09509,349.96248,24.191,-2.719e-06,-1.1829539,4.3006848e-05,4.2759989e-05,2.0337751e-05,1.99986e-07,-2.719e-09,1.799999999999999e-05
5/2/2023,11:28 AM,45.0,9.9e-05,-1.166197,0.042993581,0.020331226,1.1961101,0.042755639,0.000178563,350.79669,351.09509,349.96355,24.169,-2.284e-06,-1.1659882,4.2993581e-05,4.2755639e-05,2.0331226e-05,1.7856299999999998e-07,-2.284e-09,1.799999999999999e-05
5/2/2023,11:28 AM,45.0,9.9e-05,-1.149296,0.042998039,0.020333836,1.1960232,0.042732367,0.000188894,350.79776,351.09402,349.96355,24.083,-2.066e-06,-1.1490985,4.2998039e-05,4.2732367e-05,2.0333836e-05,1.88894e-07,-2.066e-09,1.799999999999999e-05
5/2/2023,11:28 AM,45.0,9.9e-05,-1.132394,0.042980638,0.020325897,1.1960015,0.0427191,0.000185632,350.79455,351.09402,349.96141,24.102,-2.501e-06,-1.1320352,4.2980638e-05,4.27191e-05,2.0325897e-05,1.85632e-07,-2.501e-09,1.799999999999999e-05
5/2/2023,11:28 AM,45.0,9.9e-05,-1.1154929999999998,0.042968567,0.02032655,1.1959473,0.042714315,0.000207055,350.79776,351.09295,349.96462,24.126,-2.392e-06,-1.1147982,4.2968567e-05,4.2714315e-05,2.032655e-05,2.07055e-07,-2.392e-09,1.799999999999999e-05
5/2/2023,11:28 AM,45.0,9.9e-05,-1.098592,0.04298912,0.020330899,1.1960775,0.042737696,0.000214015,350.79669,351.09295,349.96248,24.105,-1.957e-06,-1.0990156,4.298912e-05,4.2737696e-05,2.0330899e-05,2.14015e-07,-1.957e-09,1.799999999999999e-05
5/2/2023,11:28 AM,45.0,9.9e-05,-1.08169,0.04300315,0.020331334,1.195969,0.042732802,0.000206511,350.79455,351.09402,349.96141,24.04,-2.392e-06,-1.082267,4.300315e-05,4.2732802e-05,2.0331334e-05,2.06511e-07,-2.392e-09,1.799999999999999e-05
5/2/2023,11:28 AM,45.0,9.9e-05,-1.064789,0.042986293,0.020340034,1.1960124,0.042704637,0.000178563,350.79669,351.09402,349.96141,24.019,-1.522e-06,-1.0649865,4.2986293e-05,4.2704637e-05,2.0340034e-05,1.7856299999999998e-07,-1.522e-09,1.799999999999999e-05
5/2/2023,11:29 AM,45.0,9.9e-05,-1.047887,0.04298477,0.020334706,1.1960015,0.042726495,0.000179868,350.79562,351.09402,349.96248,24.08,-2.501e-06,-1.047782,4.298477e-05,4.2726495000000005e-05,2.0334706e-05,1.79868e-07,-2.501e-09,1.799999999999999e-05
5/2/2023,11:29 AM,45.0,9.9e-05,-1.030986,0.042996517,0.020332096,1.1960015,0.042709965,0.000196398,350.79349,351.09402,349.96355,24.064,-2.175e-06,-1.0306316,4.2996517e-05,4.2709965e-05,2.0332096e-05,1.96398e-07,-2.175e-09,1.799999999999999e-05
5/2/2023,11:29 AM,45.0,9.9e-05,-1.014085,0.038238805,0.021607377,1.1958279,0.038138105,0.000194332,350.79455,351.09509,349.96355,24.078,-2.392e-06,-1.013514,3.8238805e-05,3.8138105e-05,2.1607377e-05,1.94332e-07,-2.392e-09,1.799999999999999e-05
5/2/2023,11:29 AM,45.0,9.9e-05,-0.997183,0.038205093,0.021605529,1.195741,0.038125055,0.000195419,350.79455,351.09188,349.96141,24.008,-2.284e-06,-0.99655217,3.8205093000000005e-05,3.8125055e-05,2.1605529e-05,1.95419e-07,-2.284e-09,1.799999999999999e-05
